Fecha_pd,Entidad,Data
2016-08-31,Guerrero,258.0
2016-08-31,Hidalgo,63.0
2016-08-31,Jalisco,179.0
2016-08-31,Michoacán de Ocampo,226.0
2016-08-31,Morelos,80.0
2016-08-31,México,210.0
2016-08-31,Nacional,3198.0
2016-08-31,Nayarit,10.0
2016-08-31,Nuevo León,93.0
2016-08-31,Oaxaca,148.0
2016-08-31,Puebla,96.0
2016-08-31,Querétaro,31.0
2016-08-31,Quintana Roo,33.0
2016-08-31,San Luis Potosí,51.0
2016-08-31,Sinaloa,148.0
2016-08-31,Sonora,97.0
2016-08-31,Tabasco,43.0
2016-08-31,Tamaulipas,136.0
2016-08-31,Tlaxcala,34.0
2016-08-31,Veracruz de Ignacio de la Llave,233.0
2016-08-31,Yucatán,8.0
2016-08-31,Zacatecas,75.0
2016-09-30,Aguascalientes,17.0
2016-09-30,Baja California,149.0
2016-09-30,Baja California Sur,36.0
2016-09-30,Campeche,15.0
2016-09-30,Chiapas,103.0
2016-09-30,Chihuahua,148.0
2016-09-30,Ciudad de México,159.0
2016-09-30,Coahuila de Zaragoza,36.0
2016-09-30,Colima,47.0
2016-09-30,Durango,42.0
2016-09-30,Guanajuato,229.0
2016-09-30,Guerrero,207.0
2016-09-30,Hidalgo,46.0
2016-09-30,Jalisco,185.0
2016-09-30,Michoacán de Ocampo,215.0
2016-09-30,Morelos,72.0
2016-09-30,México,232.0
2016-09-30,Nacional,3071.0
2016-09-30,Nayarit,5.0
2016-09-30,Nuevo León,104.0
2016-09-30,Oaxaca,137.0
2016-09-30,Puebla,106.0
2016-09-30,Querétaro,33.0
2016-09-30,Quintana Roo,26.0
2016-09-30,San Luis Potosí,47.0
2016-09-30,Sinaloa,127.0
2016-09-30,Sonora,84.0
2016-09-30,Tabasco,54.0
2016-09-30,Tamaulipas,129.0
2016-09-30,Tlaxcala,37.0
2016-09-30,Veracruz de Ignacio de la Llave,180.0
2016-09-30,Yucatán,10.0
2016-09-30,Zacatecas,54.0
2016-10-31,Aguascalientes,15.0
2016-10-31,Baja California,130.0
2016-10-31,Baja California Sur,33.0
2016-10-31,Campeche,13.0
2016-10-31,Chiapas,133.0
2016-10-31,Chihuahua,180.0
2016-10-31,Ciudad de México,134.0
2016-10-31,Coahuila de Zaragoza,39.0
2016-10-31,Colima,50.0
2016-10-31,Durango,37.0
2016-10-31,Guanajuato,219.0
2016-10-31,Guerrero,212.0
2016-10-31,Hidalgo,55.0
2016-10-31,Jalisco,169.0
2016-10-31,Michoacán de Ocampo,205.0
2016-10-31,Morelos,72.0
2016-10-31,México,275.0
2016-10-31,Nacional,3011.0
2016-10-31,Nayarit,12.0
2016-10-31,Nuevo León,105.0
2016-10-31,Oaxaca,0.0
2016-10-31,Puebla,93.0
2016-10-31,Querétaro,31.0
2016-10-31,Quintana Roo,33.0
2016-10-31,San Luis Potosí,67.0
2016-10-31,Sinaloa,140.0
2016-10-31,Sonora,70.0
2016-10-31,Tabasco,70.0
2016-10-31,Tamaulipas,122.0
2016-10-31,Tlaxcala,32.0
2016-10-31,Veracruz de Ignacio de la Llave,212.0
2016-10-31,Yucatán,10.0
2016-10-31,Zacatecas,43.0
2016-11-30,Aguascalientes,18.0
2016-11-30,Baja California,142.0
2016-11-30,Baja California Sur,37.0
2016-11-30,Campeche,16.0
2016-11-30,Chiapas,118.0
2016-11-30,Chihuahua,136.0
2016-11-30,Ciudad de México,141.0
2016-11-30,Coahuila de Zaragoza,35.0
2016-11-30,Colima,55.0
2016-11-30,Durango,33.0
2016-11-30,Guanajuato,204.0
2016-11-30,Guerrero,259.0
2016-11-30,Hidalgo,51.0
2016-11-30,Jalisco,161.0
2016-11-30,Michoacán de Ocampo,192.0
2016-11-30,Morelos,78.0
2016-11-30,México,235.0
2016-11-30,Nacional,3040.0
2016-11-30,Nayarit,6.0
2016-11-30,Nuevo León,83.0
2016-11-30,Oaxaca,182.0
2016-11-30,Puebla,65.0
2016-11-30,Querétaro,33.0
2016-11-30,Quintana Roo,30.0
2016-11-30,San Luis Potosí,46.0
2016-11-30,Sinaloa,135.0
2016-11-30,Sonora,94.0
2016-11-30,Tabasco,76.0
2016-11-30,Tamaulipas,106.0
2016-11-30,Tlaxcala,35.0
2016-11-30,Veracruz de Ignacio de la Llave,183.0
2016-11-30,Yucatán,10.0
2016-11-30,Zacatecas,45.0
2016-12-31,Aguascalientes,23.0
2016-12-31,Baja California,162.0
2016-12-31,Baja California Sur,38.0
2016-12-31,Campeche,15.0
2016-12-31,Chiapas,150.0
2016-12-31,Chihuahua,138.0
2016-12-31,Ciudad de México,191.0
2016-12-31,Coahuila de Zaragoza,46.0
2016-12-31,Colima,64.0
2016-12-31,Durango,44.0
2016-12-31,Guanajuato,234.0
2016-12-31,Guerrero,204.0
2016-12-31,Hidalgo,48.0
2016-12-31,Jalisco,182.0
